date_time;filename;git_hash;lines_html;size_html;size2_html;lines_typescript;size_typescript;size2_javascript;lines_css;size_css;size2_css;size2_zip;size3_zip
2025-08-28 00:36:10 +02:00;js13k2025_20250828_003610.zip;7269c2b665a50d9dda7ee6d7219fdc8ef8062e04;11;299;182;7;205;69;10;128;86;395;339
2025-08-29 15:09:39 +02:00;js13k2025_20250829_150939.zip;f6d81eaaeea2839b093775eb12d4064f0235170e;13;385;182;153;4477;1819;11;135;86;1098;1036
2025-08-29 15:59:00 +02:00;js13k2025_20250829_155900.zip;85cc70fb58ff4515fb7460d06f9ae684258925c1;14;426;182;136;4017;1432;11;135;86;1062;1001
2025-08-31 01:04:25 +02:00;js13k2025_20250831_010425.zip;cf6d2da602a7852fb2d12ad8a7b66c8c1da2529b;16;516;182;301;8224;2294;11;135;86;1424;1363
2025-08-31 01:29:01 +02:00;js13k2025_20250831_012901.zip;a840dce0bf0d02c2366ed0f570d2c249fbb6f600;17;556;182;328;9353;2502;11;135;86;1521;1460
2025-08-31 21:11:53 +02:00;js13k2025_20250831_211153.zip;9d66dc75b4443e286e6db8d40ab69e55d3271920;17;556;182;392;11404;3000;11;135;86;1709;1644
2025-08-31 23:20:21 +02:00;js13k2025_20250831_232021.zip;984863f4752e77489fd6361dbad0cfdc735b4f3b;17;556;182;458;13979;3339;11;135;86;1782;1716
2025-09-01 17:03:45 +02:00;js13k2025_20250901_170345.zip;ef47ce9696c9d4638f71ef72c3aae914b9ba610c;17;556;182;489;15023;3457;11;135;86;1842;1774
2025-09-02 18:16:45 +02:00;js13k2025_20250902_181645.zip;9d56e0c986142f581ee2f99044b7d32a085f3b76;17;556;182;643;19432;5508;11;135;86;2770;2582
2025-09-03 01:28:50 +02:00;js13k2025_20250903_012850.zip;8d40136dc4e93b33d3f56c4a1371295aa5e1c58c;17;556;182;760;22057;6151;11;138;89;2975;2774
2025-09-03 12:48:13 +02:00;js13k2025_20250903_124813.zip;ead543ca4076defdb09061b37b090f53b0cfb070;17;556;182;923;26398;7907;11;138;89;3660;3390
2025-09-04 01:13:16 +02:00;js13k2025_20250904_011316.zip;c7affef9f7e5ad6ab55f3045cc56df564dcf4552;17;556;182;978;28055;7910;11;138;89;3661;3389
2025-09-04 02:36:09 +02:00;js13k2025_20250904_023609.zip;55d56fec25f9476ee31d775f7e9fca02af83e88f;17;556;182;1119;30625;9017;11;138;89;3984;3689
2025-09-05 01:00:00 +02:00;js13k2025_20250905_010000.zip;e99fd60ad3c83ae1cb2a9640473ab7603aaac67a;17;556;182;1017;28457;8910;11;138;89;3951;3657
2025-09-05 02:04:08 +02:00;js13k2025_20250905_020408.zip;1a51c6ef4a62fbdb76f1e2e6db336ed0ab321c63;17;556;182;1159;32661;9807;11;138;89;4254;3937
2025-09-05 20:46:51 +02:00;js13k2025_20250905_204651.zip;1b029cc6a9f6a21888ff4ef0dafbaf28661f5e5d;17;556;182;1257;35252;10452;11;138;89;4510;4197
2025-09-05 20:55:20 +02:00;js13k2025_20250905_205520.zip;3c473ae67193439b12884e27906ec0f456af84a7;17;556;182;1217;34367;10367;11;138;89;4504;4183
2025-09-05 21:19:30 +02:00;js13k2025_20250905_211930.zip;79d753e2347a2ca24b4ceefdc55bdd06c3425dba;17;556;182;1212;34208;10141;11;138;89;4498;4176
2025-09-05 21:34:07 +02:00;js13k2025_20250905_213407.zip;24baa632da9547b934bcfa7518617b317fe90272;17;556;182;1220;34355;10102;11;138;89;4493;4171
2025-09-05 21:43:07 +02:00;js13k2025_20250905_214307.zip;fb871cef25a11d8eeee5d307b236f3a494b8f858;17;556;182;1207;33859;10075;11;138;89;4488;4172
2025-09-05 22:07:35 +02:00;js13k2025_20250905_220735.zip;109c93b1d5a29ecc1c46a8ce3fe85dbeb07955ec;17;556;182;1260;35634;10271;11;138;89;4556;4240
